edge_id,benchmark_id,harm_id,ev_id,Bench: Title,Harm: Category ,Harm: Subcategory,Harm: Domain,Harm: Subdomain,strength,basis,confidence,annotator,version,notes
bmh2,B6.01.01,7.03.01,62.19.11,Quantifying Language Models' Sensitivity to Spurious Features in Prompt Design or: How I learned to start worrying about prompt formatting,Attacks on GPAIs/GPAI Failure Modes ,Model sensitivity to prompt formatting,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,"FormatSpread's spread metric is a near-direct operationalization of the harm (accuracy variation under meaning-preserving format changes) -> strength=direct. Basis face-validity-only: measures the construct itself, not validated against a downstream real-world harm outcome."
bmh3,B7.01.01,7.03.01,62.19.11,Does Prompt Formatting Have Any Impact on LLM Performance?,Attacks on GPAIs/GPAI Failure Modes ,Model sensitivity to prompt formatting,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,Varies only the human-readable template format (plain/MD/JSON/YAML) -> directly measures formatting sensitivity.
bmh4,B8.01.01,7.03.01,62.19.11,Mind Your Format: Towards Consistent Evaluation of In-Context Learning Improvements,Attacks on GPAIs/GPAI Failure Modes ,Model sensitivity to prompt formatting,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,Sweeps prompt template format in ICL -> direct measure of format sensitivity.
bmh5,B9.01.01,7.03.01,62.19.11,Evaluating Robustness of Large Language Models in Enterprise Applications: Benchmarks for Perturbation Consistency Across Formats and Languages,Attacks on GPAIs/GPAI Failure Modes ,Model sensitivity to prompt formatting,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,"Formatting perturbations (JSON/YAML, whitespace) are a core component; mixed with multilingual/positional, so strong-proxy."
bmh6,B10.01.01,7.03.01,62.19.11,Towards LLMs Robustness to Changes in Prompt Format Styles,Attacks on GPAIs/GPAI Failure Modes ,Model sensitivity to prompt formatting,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,"Quantifies style/format-induced brittleness, but primary contribution is a mitigation (MOF)."
bmh7,B11.01.01,7.03.01,62.19.11,ProSA: Assessing and Understanding the Prompt Sensitivity of LLMs,Attacks on GPAIs/GPAI Failure Modes ,Model sensitivity to prompt formatting,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,"PromptSensiScore captures sensitivity to prompt variation incl. format, but spans phrasing too."
bmh8,B12.01.01,7.03.01,62.19.11,State of What Art? A Call for Multi-Prompt LLM Evaluation,Attacks on GPAIs/GPAI Failure Modes ,Model sensitivity to prompt formatting,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,Instruction-paraphrase brittleness overlaps formatting/template choice.
bmh9,B11.01.01,7.03.02,30.01.03,ProSA: Assessing and Understanding the Prompt Sensitivity of LLMs,Reliability,Inconsistency,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,PromptSensiScore is an explicit measure of inconsistent responses to prompt variation.
bmh10,B13.01.01,7.03.02,30.01.03,On the Worst Prompt Performance of Large Language Models,Reliability,Inconsistency,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,Worst-vs-best gap across equivalent queries directly evidences output inconsistency.
bmh11,B12.01.01,7.03.02,30.01.03,State of What Art? A Call for Multi-Prompt LLM Evaluation,Reliability,Inconsistency,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,Performance variance across equivalent instructions = inconsistency across phrasings.
bmh12,B6.01.01,7.03.02,30.01.03,Quantifying Language Models' Sensitivity to Spurious Features in Prompt Design or: How I learned to start worrying about prompt formatting,Reliability,Inconsistency,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,FormatSpread's spread across equivalent formats is a form of output inconsistency.
bmh13,B9.01.01,7.03.02,30.01.03,Evaluating Robustness of Large Language Models in Enterprise Applications: Benchmarks for Perturbation Consistency Across Formats and Languages,Reliability,Inconsistency,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,Perturbation-consistency metric measures lack of consistent performance under equivalent inputs.
bmh14,B15.01.01,7.03.02,30.01.03,Brittlebench: Quantifying LLM robustness via prompt sensitivity,Reliability,Inconsistency,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,Variance from semantics-preserving perturbations evidences inconsistency.
bmh15,B14.01.01,7.03.03,15.01.05,PromptBench: Towards Evaluating the Robustness of Large Language Models on Adversarial Prompts,First-Order Risks,Robustness,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,Adversarial char/word/sentence perturbations approximate noisy/OOD input; PDR measures degradation.
bmh16,B15.01.01,7.03.03,15.01.05,Brittlebench: Quantifying LLM robustness via prompt sensitivity,First-Order Risks,Robustness,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,Semantics-preserving perturbations of real benchmarks approximate noisy real-world inputs.
bmh17,B13.01.01,7.03.03,15.01.05,On the Worst Prompt Performance of Large Language Models,First-Order Risks,Robustness,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,weak-proxy,face-validity-only,uncertain,claude,1,"Worst-prompt lower bound is related to robustness but is phrasing-based, not noise/OOD specifically."
bmh18,B16.01.01,7.03.04,62.15.02,Can LLMs Express Their Uncertainty? An Empirical Evaluation of Confidence Elicitation in LLMs,Model Development ,Training-related (Poor model confidence calibration),"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,ECE/failure-prediction directly quantify miscalibration/overconfidence (the harm itself).
bmh19,B17.01.01,7.03.05,30.05.02,FOLIO: Natural Language Reasoning with First-Order Logic,Explainability & Reasoning,Limited Logical Reasoning,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,FOL validity accuracy directly measures deductive-reasoning capability.
bmh20,B18.01.01,7.03.06,30.05.03,Can Large Language Models Infer Causation from Correlation?,Explainability & Reasoning,Limited Causal Reasoning,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,Corr2Cause isolates pure causal inference; near-random LLM scores evidence the harm.
bmh21,B19.01.01,7.03.07,62.19.08,Large Language Models Can Be Easily Distracted by Irrelevant Context,Attacks on GPAIs/GPAI Failure Modes ,Models distracted by irrelevant context,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,GSM-IC measures the accuracy drop caused by irrelevant context = distractibility.
bmh22,B20.01.01,7.03.08,62.19.09,Adaptive Chameleon or Stubborn Sloth: Revealing the Behavior of Large Language Models in Knowledge Conflicts,Attacks on GPAIs/GPAI Failure Modes ,Knowledge conflicts in retrieval-augmented LLMs,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,Controlled parametric-vs-context conflict probes directly measure conflict handling.
bmh23,B21.01.01,7.03.09,62.32.04,Purple Llama CyberSecEval: A Secure Coding Benchmark for Language Models,Impacts of AI (Cyberattacks) ,Models generating code with security vulnerabilities,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,CyberSecEval measures rate of insecure code across CWEs = the harm directly.
bmh24,B22.01.01,7.03.10,62.15.08,XSTest: A Test Suite for Identifying Exaggerated Safety Behaviours in Large Language Models,Model Development ,Fine-tuning related (Excessive or overly restrictive safety-tuning),"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,XSTest false-refusal rate directly measures exaggerated-safety/over-refusal.
bmh25,B23.01.01,7.03.11,27.01.08,Aligning AI With Shared Human Values (ETHICS),Typical safety scenarios ,Ethics and Morality ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,ETHICS accuracy directly measures machine-ethics/moral-judgment capability.
bmh26,B24.01.01,7.03.12,61.02.31,TruthfulQA: Measuring How Models Mimic Human Falsehoods,Sources of systemic risks from general-purpose AI ,Lack of ability to generate accurate information,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,TruthfulQA truthfulness rate directly measures imitative-falsehood propensity.
bmh27,B25.01.01,7.03.13,65.13.01,Measuring Massive Multitask Language Understanding (MMLU),Inference risks (Accuracy) ,Poor model accuracy ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,MMLU multitask accuracy directly measures general task capability.
bmh28,B26.01.01,7.03.14,69.04.03,Enabling Large Language Models to Generate Text with Citations (ALCE),Bad advice/failure to generate helpful content,Bad links and references,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,ALCE citation recall/precision directly measures unsupported/fabricated citations.
bmh29,B19.01.01,7.03.03,15.01.05,Large Language Models Can Be Easily Distracted by Irrelevant Context,First-Order Risks,Robustness,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,Irrelevant-context distraction is a form of input-noise robustness failure.
bmh30,B20.01.01,7.03.12,61.02.31,Adaptive Chameleon or Stubborn Sloth: Revealing the Behavior of Large Language Models in Knowledge Conflicts,Sources of systemic risks from general-purpose AI ,Lack of ability to generate accurate information,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,Mishandling knowledge conflicts yields unfaithful/incorrect answers -> factual accuracy.
bmh31,B16.01.01,7.03.12,61.02.31,Can LLMs Express Their Uncertainty? An Empirical Evaluation of Confidence Elicitation in LLMs,Sources of systemic risks from general-purpose AI ,Lack of ability to generate accurate information,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,weak-proxy,face-validity-only,uncertain,claude,1,"Overconfidence correlates with confidently-wrong hallucinations, but calibration != factual accuracy."
bmh32,B27.01.01,7.03.04,62.15.02,Just Ask for Calibration: Strategies for Eliciting Calibrated Confidence Scores from Language Models Fine-Tuned with Human Feedback,Model Development ,Training-related (Poor model confidence calibration),"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Directly measures calibration error of elicited confidence.
bmh33,B28.01.01,7.03.04,62.15.02,UBench: Benchmarking Uncertainty in Large Language Models with Multiple Choice Questions,Model Development ,Training-related (Poor model confidence calibration),"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Measures uncertainty calibration across a large MCQ suite.
bmh34,B29.01.01,7.03.05,30.05.02,LogiQA 2.0 - An Improved Dataset for Logical Reasoning in Natural Language Understanding,Explainability & Reasoning,Limited Logical Reasoning,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,Standard logical-reasoning accuracy benchmark.
bmh35,B30.01.01,7.03.05,30.05.02,JustLogic: A Comprehensive Benchmark for Evaluating Deductive Reasoning in Large Language Models,Explainability & Reasoning,Limited Logical Reasoning,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,Isolates deductive reasoning from prior knowledge.
bmh36,B31.01.01,7.03.06,30.05.03,CLadder: Assessing Causal Reasoning in Language Models,Explainability & Reasoning,Limited Causal Reasoning,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,"Formal causal inference, complementary to Corr2Cause."
bmh37,B32.01.01,7.03.06,30.05.03,Causal Evaluation of Language Models (CaLM),Explainability & Reasoning,Limited Causal Reasoning,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,Broad causal-reasoning coverage.
bmh38,B33.01.01,7.03.07,62.19.08,Lost in the Middle: How Language Models Use Long Contexts,Attacks on GPAIs/GPAI Failure Modes ,Models distracted by irrelevant context,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,Positional context-use failure; related to but distinct from irrelevant-context distraction.
bmh39,B34.01.01,7.03.07,62.19.08,How Easily do Irrelevant Inputs Skew the Responses of Large Language Models?,Attacks on GPAIs/GPAI Failure Modes ,Models distracted by irrelevant context,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Directly measures distraction by irrelevant inputs.
bmh40,B35.01.01,7.03.08,62.19.09,Resolving Knowledge Conflicts in Large Language Models,Attacks on GPAIs/GPAI Failure Modes ,Knowledge conflicts in retrieval-augmented LLMs,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,Directly probes conflict identification and resolution.
bmh41,B36.01.01,7.03.08,62.19.09,Who's Who: Large Language Models Meet Knowledge Conflicts in Practice (WhoQA),Attacks on GPAIs/GPAI Failure Modes ,Knowledge conflicts in retrieval-augmented LLMs,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Measures degradation under realistic conflicts.
bmh42,B37.01.01,7.03.09,62.32.04,CodeLMSec Benchmark: Systematically Evaluating and Finding Security Vulnerabilities in Black-Box Code Language Models,Impacts of AI (Cyberattacks) ,Models generating code with security vulnerabilities,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Directly measures vulnerable-code generation.
bmh43,B38.01.01,7.03.09,62.32.04,SALLM: Security Assessment of Generated Code,Impacts of AI (Cyberattacks) ,Models generating code with security vulnerabilities,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Security-centric secure-generation metrics.
bmh44,B39.01.01,7.03.10,62.15.08,OR-Bench: An Over-Refusal Benchmark for Large Language Models,Model Development ,Fine-tuning related (Excessive or overly restrictive safety-tuning),"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Large-scale direct measure of over-refusal.
bmh45,B40.01.01,7.03.10,62.15.08,Automatic Pseudo-Harmful Prompt Generation for Evaluating False Refusals in Large Language Models (PHTest),Model Development ,Fine-tuning related (Excessive or overly restrictive safety-tuning),"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Directly measures false refusals at scale.
bmh46,B41.01.01,7.03.11,27.01.08,MoralBench: Moral Evaluation of LLMs,Typical safety scenarios ,Ethics and Morality ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,Directly measures moral judgment/identity.
bmh47,B42.01.01,7.03.12,61.02.31,HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models,Sources of systemic risks from general-purpose AI ,Lack of ability to generate accurate information,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Directly measures hallucination propensity/recognition.
bmh48,B43.01.01,7.03.12,61.02.31,HalluLens: LLM Hallucination Benchmark,Sources of systemic risks from general-purpose AI ,Lack of ability to generate accurate information,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Taxonomy-grounded hallucination measurement.
bmh49,B44.01.01,7.03.13,65.13.01,MMLU-Pro: A More Robust and Challenging Multi-Task Language Understanding Benchmark,Inference risks (Accuracy) ,Poor model accuracy ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Harder capability/accuracy measure.
bmh50,B45.01.01,7.03.13,65.13.01,Humanity's Last Exam: A Benchmark of Expert-Level Academic Questions to Assess AI Capabilities,Inference risks (Accuracy) ,Poor model accuracy ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Frontier capability measure where models remain weak.
bmh51,B46.01.01,7.03.14,69.04.03,Synthesizing Scientific Literature with Retrieval-Augmented Language Models (ScholarQABench),Bad advice/failure to generate helpful content,Bad links and references,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Measures citation accuracy in long-form answers.
bmh52,B47.01.01,7.03.14,69.04.03,GhostCite: A Large-Scale Analysis of Citation Validity in the Age of Large Language Models,Bad advice/failure to generate helpful content,Bad links and references,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,validated-against-downstream,probable,claude,1,Directly quantifies fabricated (ghost) citations.
bmh53,B48.01.01,7.03.15,20.02.03,"MoReBench: Evaluating Procedural and Pluralistic Moral Reasoning in Language Models, More than Outcomes",AI Ethics ,Moral dilemmas ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,Directly evaluates moral-reasoning process under dilemmas.
bmh54,B49.01.01,7.03.15,20.02.03,The Moral Machine Experiment on Large Language Models,AI Ethics ,Moral dilemmas ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,Dilemma choices in a specific (autonomous-driving) setting.
bmh55,B50.01.01,7.03.15,20.02.03,Procedural Dilemma Generation for Evaluating Moral Reasoning in Humans and Language Models (OffTheRails),AI Ethics ,Moral dilemmas ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,direct,face-validity-only,probable,claude,1,Controlled dilemma judgments vs human baselines.
bmh56,B23.01.01,7.03.15,20.02.03,Aligning AI With Shared Human Values (ETHICS),AI Ethics ,Moral dilemmas ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,ETHICS commonsense-morality judgments bear on dilemma reasoning but are not dilemma-specific.
bmh57,B48.01.01,7.03.11,27.01.08,"MoReBench: Evaluating Procedural and Pluralistic Moral Reasoning in Language Models, More than Outcomes",Typical safety scenarios ,Ethics and Morality ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,Procedural moral-reasoning quality (MoReBench) also bears on machine-ethics behaviour.
bmh59,B51.01.01,7.03.16,19.05.03,Value Compass Benchmarks: A Platform for Fundamental and Validated Evaluation of LLMs Values,Ethical AI Risks ,Problem of defining human values for an AI system,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,"Value Compass clarifies/quantifies the basic values a model actually holds - a near-direct probe of whether usable values can be specified for the system. Strong-proxy (measures value-clarity construct, not a downstream specification-failure outcome)."
bmh60,B52.01.01,7.03.17,19.05.04,Can LLMs Grasp Implicit Cultural Values? Benchmarking LLMs' Metacognitive Cultural Intelligence with CQ-Bench,Ethical AI Risks ,Misinterpretation of human value definitions/ ethics by AI systems,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,CQ-Bench value selection/extraction directly tests whether the model correctly interprets (vs misreads) implicit value definitions from context. Strong-proxy for value-misinterpretation.
bmh61,B52.01.01,7.03.16,19.05.03,Can LLMs Grasp Implicit Cultural Values? Benchmarking LLMs' Metacognitive Cultural Intelligence with CQ-Bench,Ethical AI Risks ,Problem of defining human values for an AI system,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,weak-proxy,face-validity-only,uncertain,claude,1,"Cross-link: correctly inferring values presupposes a definable value target, so CQ-Bench bears weakly on the value-definition problem. Weak/uncertain - it tests interpretation, not definability."
bmh62,B53.01.01,7.03.18,19.05.05,The Pluralistic Moral Gap: Understanding Judgment and Value Differences between Humans and Large Language Models,Ethical AI Risks ,Incompatibility of human vs. AI value judgment due to missing human qualities ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,validated-against-downstream,probable,claude,1,Moral Dilemma Dataset measures the distance between model and human moral-judgment distributions and shows LLMs use a narrower value set than humans - a direct operationalization of human-AI value-judgment incompatibility. Validated against human judgment distributions.
bmh63,B53.01.01,7.03.15,20.02.03,The Pluralistic Moral Gap: Understanding Judgment and Value Differences between Humans and Large Language Models,AI Ethics ,Moral dilemmas ,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,strong-proxy,face-validity-only,probable,claude,1,"Cross-link: it is literally a real-world moral-dilemma benchmark, so it also measures dilemma-navigation quality (7.03.15)."
