provision_id,parent_id,jurisdiction,instrument_type,binding_force,citation,obligation_type,bound_date,enforced_date,version,notes
P.EU.AIA,,EU,regulation,hard-law,EU AI Act,,,,,
P.EU.AIA.3,P.EU.AIA,EU,regulation,hard-law,EU AI Act Article 3 Definitions,,,,,
P.EU.AIA.3.64,P.EU.AIA.3,EU,regulation,hard-law,EU AI Act Article 3(64) high impact definition,,,,,
P.EU.AIA.3.65,P.EU.AIA.3,EU,regulation,hard-law,EU AI Act Article 3(65) systemic-risk definition,,2024-08-01,,v1,definitional hook: 'fundamental rights' / 'society as a whole'
P.EU.AIA.51,P.EU.AIA,EU,regulation,hard-law,"EU AI Act Article 51 Classification of general-purpose AI models as general-purpose AI models with systemic risk
",,,,v1,
P.EU.AIA.52,P.EU.AIA,EU,regulation,hard-law,"EU AI Act Article 52 Procedure
",,,,,
P.EU.AIA.55,P.EU.AIA,EU,regulation,hard-law,"EU AI Act Article 55 Obligations of providers of general-purpose AI models with systemic risk

",,,,,
P.EU.AIA.55.1,P.EU.AIA,EU,regulation,hard-law,"EU AI Act Article 55(1) GPAI provider's obligations
",evaluate,,,,
P.EU.AIA.55.1.a,P.EU.AIA,EU,regulation,hard-law,"EU AI Act Article 55(1)(a) GPAI provider's obligation to perform evaluations
",evaluate,,,,
P.EU.AIA.55.1.b,P.EU.AIA,EU,regulation,hard-law,"EU AI Act Article 55(1)(b) GPAI provider's obligation to assess and mitigate possible systemic risks at Union level
",evaluate,,,,
P.EU.AIA.55.1.c,P.EU.AIA,EU,regulation,hard-law,EU AI Act Article 55(1)(b) GPAI provider's obligation to document and report incidents,document-report,,,,
P.EU.AIA.55.1.d,P.EU.AIA,EU,regulation,hard-law,EU AI Act Article 55(1)(b) GPAI provider's obligation to mitigate cyber risks,mitigate,,,,
P.EU.AIA.56,P.EU.AIA,EU,regulation,hard-law,"EU AI Act Article 56 Codes of practice
",,,,,
P.EU.AIA.56.1,P.EU.AIA.56,EU,regulation,hard-law,EU AI Act Article 56(1) AI Office competence to draw up CoPs,grant-right,,,,
P.EU.CoP.SS,,EU,code-of-practice,guidance,EU AI Act Safety and Security Code of Practice,,,,,
P.EU.CoP.SS.A1.1,P.EU.CoP.SS,EU,code-of-practice,guidance,CoP Appendix A1.1 Types of risks,,,,,
